Stock_Ticker,Stock_name,Location,Weight,Website
TSLA,TESLA INC,ARKQ,9.71,Ark_Website
JD,JD.COM INC-ADR,ARKQ,6.58,Ark_Website
TRMB,TRIMBLE INC,ARKQ,5.84,Ark_Website
KTOS,KRATOS DEFENSE & SECURITY,ARKQ,5.63,Ark_Website
GOOG,ALPHABET INC-CL C,ARKQ,4.76,Ark_Website
BIDU,BAIDU INC - SPON ADR,ARKQ,4.45,Ark_Website
TER,TERADYNE INC,ARKQ,3.96,Ark_Website
IRDM,IRIDIUM COMMUNICATIONS INC,ARKQ,3.82,Ark_Website
DDD,3D SYSTEMS CORP,ARKQ,3.17,Ark_Website
NXPI,NXP SEMICONDUCTORS NV,ARKQ,3.14,Ark_Website
LMT,LOCKHEED MARTIN CORP,ARKQ,2.94,Ark_Website
KMTUY,KOMATSU LTD -SPONS ADR,ARKQ,2.87,Ark_Website
DE,DEERE & CO,ARKQ,2.73,Ark_Website
NIU,NIU TECHNOLOGIES-SPONS ADR,ARKQ,2.57,Ark_Website
U,UNITY SOFTWARE INC,ARKQ,2.47,Ark_Website
MGA,MAGNA INTERNATIONAL INC,ARKQ,2.25,Ark_Website
CAT,CATERPILLAR INC,ARKQ,2.06,Ark_Website
NNDM,NANO DIMENSION LTD - ADR,ARKQ,1.93,Ark_Website
RAVN,RAVEN INDUSTRIES INC,ARKQ,1.91,Ark_Website
BYDDY,BYD CO LTD-UNSPONSORED ADR,ARKQ,1.87,Ark_Website
PATH,UIPATH INC - CLASS A,ARKQ,1.62,Ark_Website
MTLS,MATERIALISE NV-ADR,ARKQ,1.49,Ark_Website
ISRG,INTUITIVE SURGICAL INC,ARKQ,1.47,Ark_Website
AVAV,AEROVIRONMENT INC,ARKQ,1.45,Ark_Website
VUZI,VUZIX CORP,ARKQ,1.41,Ark_Website
NVDA,NVIDIA CORP,ARKQ,1.38,Ark_Website
TDY,TELEDYNE TECHNOLOGIES INC,ARKQ,1.32,Ark_Website
TCEHY,TENCENT HOLDINGS LTD-UNS ADR,ARKQ,1.21,Ark_Website
ESLT,ELBIT SYSTEMS LTD,ARKQ,1.19,Ark_Website
SNPS,SYNOPSYS INC,ARKQ,1.14,Ark_Website
TWOU,2U INC,ARKQ,1.11,Ark_Website
ANSS,ANSYS INC,ARKQ,1.07,Ark_Website
ACIC,ATLAS CREST INVESTMENT COR-A,ARKQ,1.02,Ark_Website
TSP,TUSIMPLE HOLDINGS INC - A,ARKQ,1.02,Ark_Website
BABA,ALIBABA GROUP HOLDING-SP ADR,ARKQ,0.97,Ark_Website
BLDE,BLADE AIR MOBILITY INC,ARKQ,0.97,Ark_Website
PCAR,PACCAR INC,ARKQ,0.97,Ark_Website
SPFR,JAWS SPITFIRE ACQUISITION-A,ARKQ,0.94,Ark_Website
SSYS,STRATASYS LTD,ARKQ,0.91,Ark_Website
